,Release date,Artist,Album,Genre,Label,Producer
0,August 5 2016,Arkells,Morning Report,,Universal Music Canada,"Joe Chiccarelli, Tony Hoffer, Brian West, Gus van Go"
1,August 5 2016,Blossoms,Blossoms,"Indie rock, indie pop",Virgin EMI,"Rich Turvey, James Skelly"
2,August 5 2016,Dinosaur Jr.,Give a Glimpse of What Yer Not,"Alternative rock, indie rock",Jagjaguwar,J Mascis
3,August 5 2016,DJ Snake,Encore,"EDM, trap, pop, hip hop",Interscope,DJ Snake
4,August 5 2016,Elvis Presley,Way Down in the Jungle Room,"Soul, country pop","RCA, Legacy","Elvis Presley, Ernst Mikael Jørgensen, Felton Jarvis, Rob Santos"
5,August 5 2016,Giggs,Landlord,"Grime, UK hip hop",SN1 Records,
6,August 5 2016,Jem,Beachwood Canyon,Pop,Orchid Entertainment,"Jem, Michael Bradford"
7,August 5 2016,Live Maria Roggen,Apokaluptein,Jazz,Kirkelig Kulturverksted,Live Maria Roggen
8,August 5 2016,Nick Fradiani,Hurricane,Pop,"19, Big Machine","Jerrod Bettis, Nick Fradiani, David Hodges, Julian Raymond, Rykeyz, Jordan Schmidt, Nolan Sipe, Pär Westerlund"
9,August 5 2016,Russian Circles,Guidance,"Instrumental rock, post-metal, post-rock",Sargent House,Kurt Ballou
10,August 5 2016,Skillet,Unleashed,"Christian metal, hard rock",Atlantic,"Brian Howes, Kevin Churko, Neal Avron, Seth Mosely"
11,August 5 2016,Tarja,The Shadow Self,"Symphonic rock, symphonic metal",earMUSIC,Tarja Turunen
12,August 5 2016,Wild Beasts,Boy King,"Art rock, art pop, synth-pop",Domino,John Congleton
13,August 8 2016,JJ Weeks Band,As Long as We Can Breathe,"Worship, Christian pop, Christian rock, pop rock",Centricity,
14,August 12 2016,The Amity Affliction,This Could Be Heartbreak,"Metalcore, post-hardcore","UNFD, Roadrunner",Will Putney
15,August 12 2016,Equilibrium,Armageddon,"Folk metal, symphonic metal",Nuclear Blast,René Berthiaume
16,August 12 2016,Of Montreal,Innocence Reaches,Indie rock,Polyvinyl,Kevin Barnes
17,August 12 2016,The Pineapple Thief,Your Wilderness,"Progressive rock, alternative rock",Kscope,"Bruce Soord, Steve Kitch"
18,August 12 2016,Young the Giant,Home of the Strange,"Indie rock, alternative rock",Fueled by Ramen,"Alex Salibian, Jeff Bhasker"
19,August 19 2016,AJJ,The Bible 2,Folk punk,SideOneDummy,"Alex Bhore, John Congleton"
20,August 19 2016,Ball Park Music,Every Night the Same Dream,,"Stop Start Music, Inertia",Matt Redlich
21,August 19 2016,Crystal Castles,Amnesty (I),"Electropunk, witch house","Fiction, Casablanca","Ethan Kath, Jake Lee"
22,August 19 2016,Ed Harcourt,Furnaces,,Polydor,Flood
23,August 19 2016,Frank Ocean,Endless,"Alternative R&B, alternative hip hop, dream pop",Def Jam,"Frank Dukes, Frank Ocean, Joe Thornalley, Michael Uzowuru, Stwo, Troy Noka"
24,August 19 2016,Isglem,5te,Jazz,NorCD,Karl Seglem
25,August 19 2016,John Beasley,"Presents MONK'estra, Volume 1",Jazz,Mack Avenue,
26,August 19 2016,Lindsey Stirling,Brave Enough,Electronic,Lindseystomp,"AFSHeeN, Andrew Goldstein, Gladius, Jason Yik Nam Wu, Josh Abraham, Keith Varon, Lindsey Stirling, Marty ""Marø"" Rod, Nathaniel Motte, Nico Stadi, Oligee, Robert DeLong, Rock Mafia, RUMORS, SILAS, Stephen Anderson, Vicetone, Zedd"
27,August 19 2016,Lisa Hannigan,At Swim,"Folk, indie","Hoop Recordings, PIAS","Aaron Dessner, Lisa Hannigan"
28,August 19 2016,Myrkur,Mausoleum,Black metal,Relapse,
29,August 19 2016,Sabaton,The Last Stand,Power metal,Nuclear Blast,Peter Tägtgren
30,August 19 2016,Soilwork,Death Resonance,,Nuclear Blast,
31,August 19 2016,Trapt,DNA,"Hard rock, alternative metal, post-grunge, nu metal",,"Crash Collide Records, The End, Alternative Distribution Alliance"
32,August 19 2016,Watsky,x Infinity,Alternative hip hop,"Steel Wool Media, EMPIRE","Watsky, Kush Mody, Russell Simmons, Anderson .Paak, Frans Mernick, Mikos Da Gawd, Daniel Riera, Wax, Andrew Oedel"
33,August 20 2016,Frank Ocean,Blonde,R&B,"Def Jam, Boys Don't Cry","Bob Ludwig, Buddy Ross, Frank Ocean, Hudson Mohawke, Jamie XX, Michael Uzowuru, Mike Dean, Om'Mas Keith, Rostam Batmanglij, Pharrell Williams, Tyler, The Creator, Vegyn"
34,August 23 2016,The Midnight Beast,All Killer,"Comedy, soundtrack",Sounds Like Good,"Dru Wakely, Stefan Abingdon"
35,August 26 2016,The Album Leaf,Between Waves,,Relapse,
36,August 26 2016,The Bad Plus,It's Hard,Jazz,Okeh,
37,August 26 2016,Barbra Streisand,Encore: Movie Partners Sing Broadway,Traditional pop,Columbia,"Barbra Streisand, Walter Afanasieff"
38,August 26 2016,Beginner,Advanced Chemistry,Hip hop,,
