,Release date,Artist,Album,Genre,Label,Producer
0,February 1 2016,4Minute,Act. 7,"K-pop, EDM, dance-pop, hip hop","Cube Entertainment, Universal",
1,February 1 2016,Sami Yusuf,Barakah,Spiritique,Andante Records,
2,February 3 2016,BIGBANG,Made Series,"Dance-pop, PBR&B, hip hop","YG Entertainment, Avex Trax","G-Dragon, Teddy Park, Taeyang, P.K, Dee.P, Seo Won-jin, T.O.P"
3,February 5 2016,Anchor & Braille,Songs for the Late Night Drive Home,"Alternative rock, electronic rock, shoegazing, post-punk revival",Tooth & Nail,
4,February 5 2016,Charles Kelley,The Driver,Country,Capitol Nashville,Paul Worley
5,February 5 2016,The Cult,Hidden City,Hard rock,Cooking Vinyl,Bob Rock
6,February 5 2016,DIIV,Is the Is Are,"Indie rock, shoegazing, krautrock",Captured Tracks,Zachary Cole Smith
7,February 5 2016,Elton John,Wonderful Crazy Night,"Rock, soft rock, vocal jazz","Capitol, Mercury","T Bone Burnett, Elton John"
8,February 5 2016,Eric Prydz,Opus,"House, progressive house, electro house, electro",Virgin,Eric Prydz
9,February 5 2016,Field Music,Commontime,"Indie pop, funk",Memphis Industries,Field Music
10,February 5 2016,Fleshgod Apocalypse,King,Symphonic metal,Nuclear Blast,"Jens Bogren, Marco Mastrobuono"
11,February 5 2016,Foxes,All I Need,Synth-pop,"Sign of the Times, Epic, RCA","Ben Preston, Dan Wilson, Felix Snow, Future Cut, Ghostwriter, Jesse Shatkin, Jim Eliot, Kid Harpoon, Liam Howe, Mark Ralph, Mike Spencer, Roy Kerr, Tim Bran"
12,February 5 2016,Junior Boys,Big Black Coat,"Electronic, technopop, EDM",City Slang,Junior Boys
13,February 5 2016,Laurence Fox,Holding Patterns,,Fox Club,
14,February 5 2016,Lion Babe,Begin,"R&B, neo soul, electronica","Interscope, Polydor","Al Shux, Andrew Wyatt, Astro Raw, Robin Hannibal, Itai Shapira, Joel Compass, Linden Jay, Paul Proteus, Pharrell Williams"
15,February 5 2016,Lucinda Williams,The Ghosts of Highway 20,Country,Highway 20 Records,
16,February 5 2016,Majid Jordan,Majid Jordan,"R&B, PBR&B, synth-pop, synthwave","OVO Sound, Warner Bros.","Illangelo, Jenna Andrews, Majid Jordan, Nineteen85, Noah ""40"" Shebib"
17,February 5 2016,Obscura,Akrøasis,"Progressive metal, technical death metal",Relapse,"Obscura, V. Santura"
18,February 5 2016,Scooter,Ace,EDM,"Sheffield Tunes, Kontor","Scooter, Vassy"
19,February 5 2016,Textures,Phenotype,"Progressive metal, metalcore",Nuclear Blast,"Jochem Jacobs, Yuma Van Eekelen"
20,February 5 2016,Trixie Whitley,Porta Bohemica,,,
21,February 5 2016,Wiz Khalifa,Khalifa,Hip hop,"Taylor Gang, Rostrum, Atlantic","Crazy Mike, DJ Spinz, Finatik N Zac, I.D. Labs, Jim Jonsin, Juicy J, Knucklehead, Lex Luger, Mumbles, Ricky P, Ritz Reynolds, SAP, Sayez, Shod Beatz, Sledgren, TM88"
22,February 12 2016,Basia Bulat,Good Advice,"Indie pop, folk",Secret City,Jim James
23,February 12 2016,Daughtry,It's Not Over...The Hits So Far,"Alternative rock, hard rock, pop rock, post-grunge","RCA, 19","Howard Benson, Martin Johnson"
24,February 12 2016,Faderhead,FH-X,Electronic,Not A Robot,
25,February 12 2016,The Jezabels,Synthia,"Indie rock, alternative rock",Dine Alone,Lachlan Mitchell
26,February 12 2016,Kula Shaker,K2.0,"Rock, psychedelic rock, raga rock",StrangeF.O.L.K.,"Crispian Mills, Alonza Bevan"
27,February 12 2016,Lacey Sturm,Life Screams,"Hard rock, Christian rock",Followspot Records,"Evan Rodaniche, JW Clarke"
28,February 12 2016,Lissie,My Wild West,"Folk, rock","Lionboy, Thirty Tigers","Bill Reynolds, Curt Schneider"
29,February 12 2016,Motorpsycho,Here Be Monsters,,"Rune Grammofon, Stickman Records","Bent Sæther, Thomas Henriksen"
30,February 12 2016,Pinegrove,Cardinal,Americana,Run for Cover,
31,February 12 2016,Radiation City,Synesthetica,"Alternative rock, dream pop",Polyvinyl,John Vanderslice
32,February 12 2016,Ronan Keating,Time of My Life,Pop,Decca,"Peter-John Vettese, Stephen Lipson"
33,February 12 2016,Rotting Christ,Rituals,"Black metal, dark metal",Season of Mist,Sakis Tolis
34,February 12 2016,The Suffers,The Suffers,Soul,Rhyme & Reason Records,
35,February 12 2016,Wynonna & the Big Noise,Wynonna & the Big Noise,Country,Curb,"Scott ""Cactus"" Moser"
36,February 12 2016,Yoko Ono,"Yes, I'm a Witch Too","Electronic, alternative, house, indie rock",Manimal,Rob Stevens
37,February 14 2016,Kanye West,The Life of Pablo,Hip hop,"GOOD Music, Def Jam","Allen Ritter, Andrew Dawson, Anthony Kilhoffer, Boi-1da, Caroline Shaw, Cashmere Cat, Chance the Rapper, Charlie Handsome, Charlie Heat, Darren King, DJDS, Frank Dukes, Fonzworth Bentley, Havoc, Hudson Mohawke, Just BonaFide, Kanye West, Karriem Riggins, Kuk Harrell, Madlib, Menace, Metro Boomin, Mike Dean, Mitus, Noah Goldstein, Plain Pat, Rick Rubin, Sinjin Hawke, Southside, Swizz Beatz, Trevor Gureckis, Velous"
38,February 14 2016,Myrna,Story of I,"Soul, jazz, funk, R&B",Tomtom & Braza,
39,February 14 2016,Mýa,Smoove Jones,"R&B, soul, hip hop",Planet 9,"Mýa Harrison, Yonni, The Hit List, Delivery Boy, Terrell Sass, T-Town Productions, Desmond ""BigHeadDez"" Peterson, Philip ""HardWork"" Constable, Lamar ""Mars"" Edwards, Mike & Keys, Michael Williams, Dejan Howerton, Dennis-Manuel Peters, Daniel Coriglie, Mario Bakovic, Orlando Williams"
40,February 15 2016,Illenium,Ashes,"Electronic, progressive house, dubstep, trap","Kasaya, Seeking Blue","Anthony Howell, Dave Audé, Illenium, Jacob Grant, Myles Anderson, Nathaniel Motte, Patrick Megeath"
41,February 17 2016,Momoiro Clover Z,Amaranthus,"J-pop, pop",King,
42,February 17 2016,Momoiro Clover Z,Hakkin no Yoake,"J-pop, pop",Evil Line,
43,February 19 2016,After the Burial,Dig Deep,"Progressive metal, djent",Sumerian,"After the Burial, Will Putney"
