,Release date,Artist,Album,Genre,Label,Producer
0,January 5 2015,Låpsley,Understudy,"Electronic, ambient",XL,Låpsley
1,January 6 2015,Infected Mushroom,Friends on Mushrooms,Electronic rock,,
2,January 6 2015,Rae Sremmurd,SremmLife,Hip hop,"EarDrummers, Interscope","Mike Will Made It, P-Nazty, Rae Sremmurd, A+, BackPack, Honorable C.N.O.T.E., Marz, Sonny Digital, Soundz, Young Chop"
3,January 9 2015,Meghan Trainor,Title,"Blue-eyed soul, doo-wop, pop",Epic,"Meghan Trainor, Kevin Kadish, Chris Gelbuda, J.R. Rotem, The Elev3n"
4,January 12 2015,Beardfish,+4626-COMFORTZONE,Progressive rock,InsideOut,
5,January 13 2015,Dan Mangan,Club Meds,"Indie folk, indie rock",Arts & Crafts,Colin Stewart
6,January 13 2015,Guster,Evermotion,"Rock, alternative rock","Ocho Mule, Network","Guster, Richard Swift"
7,January 13 2015,Jazmine Sullivan,Reality Show,"R&B, pop",RCA,"Anthony Bell, Da Internz, DJ Dahi, Chuck Harmony, Salaam Remi, Key Wane"
8,January 13 2015,Kat Dahlia,My Garden,"Alternative R&B, hip hop","Epic, Vested in Culture","Frankie Storm, Glass John, J. Dens, Missy Elliott, Naughty Boy, Salaam Remi, Step, Rico Love, Timbaland, Tricky Stewart"
9,January 13 2015,Mark Ronson,Uptown Special,"Funk, R&B, pop",Columbia,"Mark Ronson, Jeff Bhasker, Bruno Mars, Emile Haynie, Boys Noize, James Ford, Riton"
10,January 13 2015,Palisades,Mind Games,"Electronicore, EDM, post-hardcore",Rise,Erik Ron
11,January 13 2015,Panda Bear,Panda Bear Meets the Grim Reaper,"Psychedelic pop, experimental, electronic",Domino,"Panda Bear, Sonic Boom"
12,January 16 2015,Marilyn Manson,The Pale Emperor,"Alternative rock, blues rock, hard rock","Hell, etc.","Marilyn Manson, Tyler Bates"
13,January 16 2015,Mikky Ekko,Time,"Indie pop, alternative, pop",RCA,"A.C., Blood Diamonds, Jeff Bhasker, Benny Blanco, Clams Casino, Mikky Ekko, Tyler Johnson, Elof Loelv, Eric Masse, Justin Parker, Nick Ruth, Alex Salibian, Dave Sitek, Fraser T Smith, Stargate, Ryan Tedder, Noel Zancanella"
14,January 19 2015,The Avener,The Wanderings of the Avener,Electronic,Capitol,Tristan Casara
15,January 19 2015,Funeral for a Friend,Chapter and Verse,"Post-hardcore, melodic hardcore, hardcore punk, emo",Distiller Records,Lewis Johns
16,January 20 2015,Belle and Sebastian,Girls in Peacetime Want to Dance,Indie pop,Matador,Ben H. Allen III
17,January 20 2015,Björk,Vulnicura,"Electronic, avant-garde, classical, ambient","One Little Indian, Megaforce","Björk, Arca, The Haxan Cloak"
