,Release date,Artist,Album,Genre,Label,Producer
0,June 1 2017,Jon Walmsley,Goin' To Clarksdale,Blues,,
1,June 1 2017,Yo Gotti and Mike Will Made It,Gotti Made-It,Hip hop,"CMG, Epic, Roc Nation","30 Roc, Blue Cheeze, Mike Will Made It, Pluss, Resource, Scooly, TL On The Beat"
2,June 2 2017,'68,Two Parts Viper,"Punk rock, blues rock, noise rock","Good Fight, Cooking Vinyl","Josh Scogin, Matt Goldman"
3,June 2 2017,Adrenaline Mob,We the People,"Heavy metal, alternative metal, hard rock",Century Media,Russell Allen
4,June 2 2017,All Time Low,Last Young Renegade,,Fueled by Ramen,
5,June 2 2017,alt-J,Relaxer,Indie rock,"Infectious, Atlantic",
6,June 2 2017,Amber Coffman,City of No Reply,"R&B, indie pop, art pop",Columbia,David Longstreth
7,June 2 2017,Bea Miller,Chapter Two: Red,Pop,Hollywood,"Dreamlab, Ido Zmishlany, Jarrad Rogers, Oak Felder, Treviorious, Zaire Koalo"
8,June 2 2017,Bleachers,Gone Now,"Synth-pop, indie electronic",RCA,Jack Antonoff
9,June 2 2017,Charlie Fink,Cover My Tracks,Indie rock,Hangman Records,
10,June 2 2017,Dan Auerbach,Waiting on a Song,"Pop, rock",Easy Eye Sound,Dan Auerbach
11,June 2 2017,Dispatch,"America, Location 12",Indie rock,Bomber Records,"John Dragonetti, Mike Sawitzke"
12,June 2 2017,Dua Lipa,Dua Lipa,Pop,Warner,"Andrew Wyatt, Emile Haynie, Jack Tarrant, Digital Farm Animals, Koz, Jay Reynolds, Jon Levine, Ten Ven, MNEK, Rick Nowels, GRADES, TMS, Greg Wells, James Flannigan"
13,June 2 2017,Flogging Molly,Life Is Good,,,Joe Chiccarelli
14,June 2 2017,Halsey,Hopeless Fountain Kingdom,,Astralwerks,"Lido, Greg Kurstin, Cashmere Cat, Benny Blanco, Happy Perez, Ricky Reed"
15,June 2 2017,Kool G Rap,Return of the Don,,"Clockwork Music, Full Mettle",MoSS
16,June 2 2017,Luke Combs,This One's for You,"Country, country pop",Columbia Nashville,"The Jackie Boyz, Sam Mitchell, Scott Moffatt"
17,June 2 2017,Major Lazer,Know No Better,"Electronica, dancehall",Mad Decent,Diplo
18,June 2 2017,Mali Music,The Transition of Mali,,"Bystorm Entertainment, RCA",Salaam Remi
19,June 2 2017,Margaret,Monkey Bu$iness,"Pop, electronic","Magic, Universal Music Polska","Alex P, Anderz Wrethov, Arash Labaf, Robert Uhlmann, Joakim Buddee"
20,June 2 2017,Marnie,Strange Words and Weird Wars,"Electronic, synth-pop, new wave, dream pop",,Jonny Scott
21,June 2 2017,PartyNextDoor,Colours 2,,OVO Sound,"G.Ry, PartyNextDoor"
22,June 2 2017,Roger Waters,Is This the Life We Really Want?,Rock,,Nigel Godrich
23,June 2 2017,Saint Etienne,Home Counties,,Heavenly,"Shawn Lee, Augustus, Carwyn Ellis, Robin Bennett, Richard X, Gerard Johnson"
24,June 2 2017,Sikth,The Future in Whose Eyes?,"Progressive metal, mathcore, avant-garde metal","Millennium Night, Peaceville",Dan Weller
25,June 2 2017,Suran,Walkin',K-pop,"Million Market, LOEN Entertainment","Deanfluenza, highhopes, June, Kriz, Primary, Slow Rabbit, Suga, Suran, Tak"
26,June 2 2017,Tankard,One Foot in the Grave,Thrash metal,Nuclear Blast,
27,June 2 2017,Unleash the Archers,Apex,,Napalm,
28,June 2 2017,Wednesday 13,Condolences,,Nuclear Blast,Zeuss
29,June 3 2017,Aphex Twin,London 03.06.17,Techno,Warp,Aphex Twin
30,June 4 2017,Produce 101 Season 2,35 Boys 5 Concepts,K-pop,CJ E&M,
31,June 7 2017,Day6,Sunrise,"K-pop, pop rock","JYP Entertainment, Genie Music",Park Jin-young
