,Release date,Artist,Album,Genre,Label,Producer
0,March 2 2016,Scandal,Yellow,"Pop rock, alternative rock",Epic/Sony,Scandal
1,March 3 2016,Frode Alnæs,Kanestrøm,Jazz rock,Øra Fonogram,
2,March 3 2016,Jason van Wyk,Attachment,"Modern classical, ambient, electronic","Eilean Records, White Notebook",Jason van Wyk
3,March 4 2016,2 Chainz,ColleGrove,"Hip hop, trap",Def Jam,"2 Chainz, Ben Billions, Bobby Kritical, FKi, Frank Dukes, Honorable C.N.O.T.E., Infamous, Lil' C, Lil Wayne, London on da Track, The Mad Violinist, Mannie Fresh, Metro Boomin, Mike Dean, Mike Will Made It, Mr. 2-17, Reignman Rich, Southside, T@, TM88, Zaytoven"
4,March 4 2016,Anouk,Queen for a Day,Rock,,
5,March 4 2016,Esperanza Spalding,Emily's D+Evolution,"Jazz, jazz fusion, funk, art rock, math rock",Concord,"Esperanza Spalding, Tony Visconti"
6,March 4 2016,Face to Face,Protection,Punk,Fat Wreck Chords,"Bill Stevenson, Jason Livermore"
7,March 4 2016,Kendrick Lamar,untitled unmastered.,"Hip hop, jazz rap, funk","Top Dawg, Aftermath, Interscope","Astronote, Bizness Boi, Cardo, Egypt Daoud, DJ Khalil, DJ Spinz, Frank Dukes, Hit-Boy, Ali Shaheed Muhammad, Nard & B, Swizz Beatz, Adrian Younge, Yung Exclusive"
8,March 4 2016,The Knocks,55,EDM,"Big Beat, Neon Gold","The Knocks, Mike Del Rio, Ryan McMahon, Matthew Koma, Josh Gudwin"
9,March 4 2016,Låpsley,Long Way Home,"Electronic, ambient, alternative R&B",XL,"Låpsley, Rodaidh McDonald, James Draper, Paul O'Duffy, RØMANS, Tourist, Mura Masa"
10,March 4 2016,Miike Snow,iii,"Indie rock, psychedelic pop",Downtown,"Henrik Jonback, Miike Snow"
11,March 4 2016,Ninja Sex Party,Under the Covers,"Rock, synth-pop, pop rock",,"Brent Lilley, Brian Wecht, Jim Arsenault"
12,March 4 2016,Poliça,United Crushers,"Synth-pop, indie electronic",Mom + Pop,Ryan Olson
13,March 4 2016,The Qemists,Warrior Sound,Drum and bass,Amazing Record,The Qemists
14,March 4 2016,Ray LaMontagne,Ouroboros,,RCA,Jim James
15,March 4 2016,La Sera,Music for Listening to Music To,Indie pop,Polyvinyl,Ryan Adams
16,March 4 2016,Sister Sparrow and the Dirty Birds,Fowl Play,"Rock, alternative","Party Fowl Records, Thirty Tigers",
17,March 4 2016,Thao & the Get Down Stay Down,A Man Alive,Alternative folk,Ribbon Music,Merrill Garbus
18,March 4 2016,Tonight Alive,Limitless,Pop punk,"Sony Music Australia, Fearless",David Bendeth
19,March 4 2016,Urthboy,The Past Beats Inside Me Like a Second Heartbeat,Hip hop,Elefant Traks,
20,March 4 2016,Violent Femmes,We Can Do Anything,Rock,PIAS,
