,Release date,Artist,Album,Genre,Label,Producer
0,May 1 2015,BIGBANG,M,"Dance, PBR&B",YG Entertainment,"G-Dragon, Teddy Park, Taeyang"
1,May 1 2015,Hiatus Kaiyote,Choose Your Weapon,"Neo soul, Alternative R&B",Flying Buddha,"Paul Bender, Simon Mavin, Perrin Moss, Nai Palm, Salaam Remi"
2,May 1 2015,In Hearts Wake,Skydancer,Metalcore,UNFD,"Dan Brown, Troy Brady, Josh Schroeder"
3,May 1 2015,Korpiklaani,Noita,Folk metal,Nuclear Blast,Aksu Hanttu
4,May 1 2015,"Terje Isungset, Stian Westerhus",Terje Isungset & Stian Westerhus,Jazz,All Ice,
5,May 4 2015,Tech N9ne,Special Effects,Hip hop,Strange Music,"Seven, N4, Excision, Joseph Bishara"
6,May 4 2015,Ciara,Jackie,R&B,Epic,"Harmony ""H-Money"" Samuels, Polow da Don, Dr. Luke, Dun Deal, Cirkut, Chris ""TEK"" O'Ryan, The Underdogs"
7,May 4 2015,METZ,II,Noise rock,Sub Pop,Graham Walsh
8,May 4 2015,Mumford & Sons,Wilder Mind,"Folk rock, indie folk, bluegrass","Gentlemen of the Road, Island",James Ford
9,May 4 2015,My Morning Jacket,The Waterfall,"Indie rock, alternative rock",ATO,"Jim James, Tucker Martine"
10,May 4 2015,Nosaj Thing,Fated,"Electronic, hip hop","Innovative Leisure Records, Timetable Records",Nosaj Thing
11,May 5 2015,Best Coast,California Nights,"Indie pop, alternative rock",Harvest,Wally Gagel
12,May 5 2015,Chris Stapleton,Traveller,Country,Mercury Nashville,"Dave Cobb, Chris Stapleton"
13,May 5 2015,Fireflight,Innova,"Christian rock, Christian alternative rock, dance-pop, electropop, indie rock",,"Geoff Duncan, Joshua Silverberg, Kipp Williams, Rusty Varenkamp"
14,May 5 2015,Kamasi Washington,The Epic,Jazz,Brainfeeder Records,Kamasi Washington
15,May 5 2015,Kamelot,Haven,"Neoclassical metal, Power metal, Progressive metal, Symphonic metal","Napalm, Universal, Warner",Sascha Paeth
16,May 5 2015,Rose Windows,Rose Windows,Psychedelic rock,Sub Pop,Randall Dunn
17,May 9 2015,Per Mathisen Trio,Ospitalita Generosa,Jazz rock,Alessa,
18,May 11 2015,Róisín Murphy,Hairless Toys,"Electronic, dance-pop",PIAS,"Róisín Murphy, Eddie Stevens"
19,May 11 2015,Slaves,Are You Satisfied?,Punk revival,Virgin EMI,Jolyon Thomas
20,May 12 2015,BoA,Kiss My Lips,"K-pop, ballad, dance","S.M. Entertainment, KT Music","BoA, Lee Soo-man"
21,May 12 2015,The Early November,Imbue,"Alternative rock, pop punk, indie rock, post-hardcore, nu gaze",Rise,Ace Enders
22,May 12 2015,Hinder,When the Smoke Clears,"Hard rock, post-grunge, alternative rock",The End,"Cody Hanson, Marshal Dutton"
23,May 12 2015,Patrick Watson,Love Songs for Robots,Folk,"Domino, Secret City",
24,May 12 2015,Snoop Dogg,Bush,Hip hop,"i Am Other, Columbia","Chad Hugo, Pharrell Williams"
25,May 12 2015,Sóley,Ask the Deep,"Indie pop, alternative",Morr Music,
26,May 12 2015,Steve Aoki,Neon Future II,EDM,"Ultra Music, Dim Mak","Albin Myers, Dan Farber, Freddy Wexler, Gianni ""Luminati"" Nicassio, Matthew Koma, Steve Aoki, Tawgs Salter, Tony Junior"
27,May 12 2015,The Tallest Man on Earth,Dark Bird Is Home,Folk,Dead Oceans,Kristian Matsson
