,Release date,Artist,Album,Genre,Label,Producer
0,November 3 2014,Simple Minds,Big Music,"Pop rock, synthpop",Sony Music,"Andy Wright, Gavin Goldberg, Owen Parker, Simple Minds, Steve Osborne"
1,November 4 2014,Billy Talent,Hits,"Alternative rock, punk rock post-hardcore",Warner Music Canada,"Brendan O'Brien, Gavin Brown, Howard Benson, Ian D'Sa"
2,November 4 2014,Bette Midler,It's the Girls!,"Traditional pop, vocal music",Warner Music,"Marc Shaiman, Scott Riesett"
3,November 4 2014,The Doobie Brothers,Southbound,Country rock,Arista Nashville,David Huff
4,November 4 2014,Joe Budden,Some Love Lost,Hip hop,"Mood Muzik Entertainment, E1","8 Bars, The Breed, DJ Pain 1, Karon Graham"
5,November 4 2014,Mother Mother,Very Good Bad Thing,Indie rock,"Universal Music Canada, Def Jam",Gavin Brown
6,November 4 2014,Psychostick,IV: Revenge of the Vengeance,Comedy rock,Rock Ridge,"Joshua Key, Patrick Murphy, Psychostick"
7,November 5 2014,Shiina Ringo,Hi Izuru Tokoro,"Pop, rock, jazz",EMI Japan,Shiina Ringo
8,November 6 2014,Azealia Banks,Broke with Expensive Taste,"Dance-pop, house rap","Azealia Banks, Prospect Park","AraabMuzik, Apple Juice Kid, Ariel Pink, Boddika, Enon, Lazy Jay, Lil Internet, Lone, Machinedrum, M. J. Cole, Oskar Cartaya, Pearson Sound, Pop Wansel, SCNTST, Sup Doodle, Yung Skeeter."
9,November 7 2014,Albatrosh,Night Owl,Jazz,Rune Grammofon,
10,November 7 2014,Cheryl,Only Human,"Electronic, pop, R&B",Polydor,"Jocke Åhlund, Kevin Anyaeji, Dawood, James Draper, Electric, Scott Hoffman, The Invisible Men, Greg Kurstin, Cass Lowe, Oligee, Red Triangle, Matt Schwartz, Lucas Secon, Jesse Shatkin, Wayne Wilkins"
11,November 7 2014,iamamiwhoami,Blue,"Synthpop, dream pop",To whom it may concern.,"Claes Björklund, Jonna Lee"
12,November 7 2014,Knife Party,Abandon Ship,Electro house,Earstorm,"Rob Swire, Gareth McGrillen"
13,November 7 2014,Machine Head,Bloodstone & Diamonds,"Groove metal, thrash metal",Nuclear Blast,"Robb Flynn, Juan Urteaga"
14,November 7 2014,Pink Floyd,The Endless River,Progressive rock,"Parlophone, Columbia","David Gilmour, Martin Glover, Andy Jackson, Phil Manzanera"
15,November 7 2014,Röyksopp,The Inevitable End,"Downtempo, ambient, synthpop",Dog Triumph,Röyksopp
16,November 10 2014,Foo Fighters,Sonic Highways,"Rock, alternative rock, post-grunge, hard rock",RCA,Butch Vig
17,November 10 2014,Queen,Queen Forever,Rock,"Virgin EMI, Hollywood","Queen, William Orbit, Christopher P Thomas"
18,November 10 2014,Whitney Houston,Live: Her Greatest Performances,"R&B, soul, pop, gospel",Legacy,
19,November 11 2014,AOA,Like a Cat,"K-pop, electropop, dance-pop",FNC Entertainment,Brave Brothers
20,November 11 2014,Big K.R.I.T.,Cadillactica,Hip hop,"Def Jam, Cinematic Music Group","Alex da Kid, Big K.R.I.T., DJ Dahi, DJ Khalil, Finatik N Zac, Jim Jonsin, Raphael Saadiq, Rico Love, Terrace Martin"
21,November 11 2014,The Birthday Massacre,Superstition,Synthrock,Metropolis,"Michael Falcore, Michael Rainbow"
22,November 11 2014,Garth Brooks,Man Against Machine,"Country pop, pop rock","Pearl, RCA Nashville",Mark Miller
23,November 11 2014,Nick Jonas,Nick Jonas,"R&B, pop rock",Island,"C. Taylor, Chase Foster, David Massey, Ian Kirkpatrick, Jason Evigan, John Feldmann, John Ryan, Michel Heyaca, Nick Monson, Nick Jonas, Nick Ruth, Robopop, Sebastian Kornelius Gautier Teigen, Sir Nolan"
24,November 14 2014,Monster Magnet,Milking the Stars: A Re-Imagining of Last Patrol,Stoner rock,Napalm,
25,November 17 2014,Ariel Pink,pom pom,"Art rock, Psychedelic pop",4AD,Ariel Pink
26,November 17 2014,Bryan Ferry,Avonmore,"Electropop, pop, sophisti-pop, pop rock",BMG,"Bryan Ferry, Johnson Somerset, Rhett Davies, Todd Terje"
27,November 17 2014,Bella Thorne,Jersey,"Pop, R&B, dance-pop",Hollywood,"Bobby Brackins, Dreamlab, Ian Kirkpatrick, Kool Kojak, Paro, Razor N Guido"
28,November 17 2014,In This Moment,Black Widow,"Gothic metal, alternative metal, electronic rock",Atlantic,Kevin Churko
29,November 17 2014,Nickelback,No Fixed Address,"Post-grunge, alternative rock, hard rock, alternative metal",Republic,"Nickelback, Chris Baseford, Brian Howes, Jason ""JVP"" van Poederooyen, Gordon ""Gordini"" Sran"
30,November 17 2014,Gemma Hayes,Bones + Longing,"Indie pop, indie rock, indie folk, folk rock",Chasing Dragons,"Dave Odlum, Gemma Hayes"
