,Release date,Artist,Album,Genre,Label,Producer
0,October 5 2017,Sabrina Claudio,About Time,"Alternative R&B, indie pop, soul",SC Entertainment,"Alex Tanas, Blue Rondo, Derek Renfroe, Mark Pellizzer, Nick Seeley, Robert Bergin, Sad Money, Stint"
1,October 6 2017,Ane Brun,Leave Me Breathless,Folk,Balloon Ranger Recordings,
2,October 6 2017,August Burns Red,Phantom Anthem,"Melodic metalcore, Christian metal",Fearless,"Carson Slovak, Grant McFarland"
3,October 6 2017,Carla Bruni,French Touch,Pop,"Verve, Barclay",David Foster
4,October 6 2017,Fantasia,Christmas After Midnight,Christmas,Concord,Ron Fair
5,October 6 2017,Gwen Stefani,You Make It Feel Like Christmas,Christmas,Interscope,"busbee, Eric Valentine, Gwen Stefani"
6,October 6 2017,Jason Manford,A Different Stage,Show tunes,Decca,"Jason Manford, Juliette Pochin"
7,October 6 2017,JP Cooper,Raised Under Grey Skies,,Island,"Teemu Brunila, Mike Spencer, Hannah Vasanth, Crispin Hunt, Adam Bartlett, Two Inch Punch, Fred Ball, Jamie Hartman, David Pramik, Jon Hume, Hank Solo, Greg Wells, Wesley Muoria-Chaves"
8,October 6 2017,Kelela,Take Me Apart,"Alternative R&B, electro, R&B, electronica",Warp,"Aaron David Ross, Al Shux, Arca, Ariel Rechtshaid, Asma Maroof, Bok Bok, Dubbel Dutch, Kelela, Kingdom, Kwes, Jam City, Loric Sih, Mocky, Nick Weiss, Terror Danjah"
9,October 6 2017,L.A. Guns,The Missing Peace,"Hard rock, glam metal",Frontiers Music Srl,Tracii Guns
10,October 6 2017,Lara Fabian,Camouflage,Pop,Sony Music,Moh Denebi
11,October 6 2017,Liam Gallagher,As You Were,Britpop,Warner Bros.,"Andrew Wyatt, Dan Grech-Marguerat, Dan McDougall, Greg Kurstin, Iain Archer"
12,October 6 2017,Marilyn Manson,Heaven Upside Down,"Gothic rock, Industrial metal, heavy metal, punk rock","Loma Vista, Caroline",Tyler Bates
13,October 6 2017,Natalie Sandtorv,Freedom Nation,Jazz,Øra Fonogram,
14,October 6 2017,Poppy,Poppy.Computer,"Pop, pop rock","I'm Poppy, Mad Decent","Corey Mixter, Ryosuke Sakai"
15,October 6 2017,The Rasmus,Dark Matters,,Playground,The Family
16,October 6 2017,Sam Feldt,Sunrise,,Spinnin',
17,October 13 2017,Beck,Colors,"Pop rock, dance-rock, experimental pop",Capitol,"Beck, Greg Kurstin, Cole M.G.N."
18,October 13 2017,Carly Pearce,Every Little Thing,Country,Big Machine,busbee
19,October 13 2017,Courtney Barnett and Kurt Vile,Lotta Sea Lice,"Indie rock, alternative rock","Matador, Marathon Artists, Milk! Records",
20,October 13 2017,Dvsn,Morning After,Alternative R&B,OVO,"40, Alpha, Maneesh, Nineteen85, Noël, Robin Hannibal"
21,October 13 2017,Gucci Mane,Mr. Davis,"Hip hop, trap","GUWOP, 1017, Atlantic","Ben Billions, Gucci Mane, Cardiak, Chris Bosh, Cubeatz, Danja, Detail, DY, Frost, Hitmaka, Honorable C.N.O.T.E., Key Wane, Metro Boomin, Mike Will Made It, Murda Beatz, Myles Harris, Nav, OG Parker, Rex Kudo, Rico Love, Southside, TM88, Zaytoven"
22,October 13 2017,Jessie James Decker,Southern Girl City Lights,Country pop,Epic,"Daniel Agee, Matt McVaney, Alyssa Bonagura"
23,October 13 2017,King Krule,The Ooz,Trip hop,"True Panther Sounds, XL","Dilip Harris, Archy Marshall"
24,October 13 2017,Knuckle Puck,Shapeshifter,Rock,Rise,Seth Henderson
25,October 13 2017,Marc E. Bassy,Gossip Columns,,Republic,
26,October 13 2017,Pink,Beautiful Trauma,Pop,RCA,"Roger Davies, Pink, Jack Antonoff, busbee, Oscar Holter, Tobias Jesso Jr., Greg Kurstin, Steve Mac, Billy Mann, Max Martin, Mattman & Robin, Christian Medice, Shellback, The Struts"
27,October 13 2017,Robert Plant,Carry Fire,Americana,Nonesuch,Robert Plant
28,October 13 2017,Russell Dickerson,Yours,Country pop,Triple Tigers,Casey Brown
29,October 13 2017,Simon Webbe,Smile,"Soul, pop",Soundwave Music,
30,October 13 2017,Squeeze,The Knowledge,Rock,Love Records,"Glenn Tilbrook, Laurie Latham, Andrew Jones"
31,October 13 2017,St. Vincent,Masseduction,"Pop, new wave, glam rock, electropop, techno",Loma Vista,"St. Vincent, Jack Antonoff, Lars Stalfors, John Congleton"
32,October 13 2017,Stars,There Is No Love in Fluorescent Light,"Indie pop, synth-pop, dream pop",Last Gang,Peter Katis
33,October 13 2017,William Patrick Corgan,Ogilala,"Acoustic rock, folk","BMG, Martha's Music, Reprise","Rick Rubin, Billy Corgan"
34,October 20 2017,98 Degrees,Let It Snow,Christmas,Universal,
35,October 20 2017,Adelitas Way,Notorious,,"Vegas Syn, The Fuel Music","Jake Scherer, Johnny K, Brian Howes, Johnny Andrews, Dave Bassett"
36,October 20 2017,Boyz II Men,Under the Streetlight,,Sony Masterworks,
37,October 20 2017,Cheap Trick,Christmas Christmas,"Christmas music, hard rock, power pop",Big Machine,"Cheap Trick, Julian Raymond"
38,October 20 2017,Chris Young,Losing Sleep,Country,RCA Nashville,"Chris Young, Corey Crowder"
39,October 20 2017,Darius Rucker,When Was the Last Time,Country,Capitol Nashville,Ross Copperman
40,October 20 2017,Europe,Walk the Earth,"Hard rock, heavy metal",Hell & Back,Dave Cobb
41,October 20 2017,Jessie Ware,Glasshouse,Rock,Island,"Bastian Langebaek, Benny Blanco, Cashmere Cat, Dave Okumu, Felix White, Fred Ball, Happy Perez, Hugo White, Jamie Scott, John Ryan, Julien Bunetta, Kid Harpoon, Pop Wansel, Sammy Witte, Starsmith, Stint, Two Inch Punch"
42,October 20 2017,Keyshia Cole,11:11 Reset,R&B,"Epic, Sony Music, Hearts and Stars Production Inc.","@BennyWond3r & YONNI, Aaron Rogers, Amadeus, Bongo ByTheWay, Chink Santana, Danja, DJ Mustard, Drumma Boy, Gavin Rhone, H-Money, JV, Keyshia Cole, Patrick “GuitarBoy” Hayes, Rashad Johnson, Ray Keys, Triple A"
43,October 20 2017,Lindsey Stirling,Warmer in the Winter,"Christmas, classical crossover","Lindseystomp, Universal, Concord","Brian Phillips, Jon Levine, Jordan Witzigreuter, Josh Abraham, NONFICTION, Oligee, Rian Dawson, Stephen J. Anderson"
44,October 20 2017,Margo Price,All American Made,Country,Third Man,"Alex Munoz, Matt Ross-Spang"
45,October 20 2017,Niall Horan,Flicker,Folk pop,"Capitol, Neon Haze","AFTERHRS, Greg Kurstin, Jacquire King, Julian Bunetta, Spike Stent, TMS"
46,October 20 2017,Paul van Dyk,From Then On,Trance,Vandit,
47,October 20 2017,Trivium,The Sin and the Sentence,"Thrash metal, groove metal, heavy metal, progressive metal",Roadrunner,Josh Wilbur
48,October 20 2017,Turnpike Troubadours,A Long Way from Your Heart,,Bossier City,
49,October 26 2017,MØ,When I Was Young,,Sony Music,"MØ, Vasco, Kristoffer Fogelmark, Albin Nedler, Mantra, Vera, FTSE, Fridolin Nordsø"
50,October 27 2017,Big K.R.I.T.,4eva Is a Mighty Long Time,Hip hop,Multi Alumni,"Big K.R.I.T., Hey DJ, WLPWR, Mannie Fresh, Organized Noize, Cory Mo, DJ Khalil, Rogét Chahayed, Supah Mario, Bēkon, Terrace Martin, Robert Glasper"
51,October 27 2017,Fever Ray,Plunge,"Electropop, experimental","Rabid, Mute","Fever Ray, Paula Temple, Deena Abdelwahed, NÍDIA, Tami T, Peder Mannerfelt, Johannes Berglund"
52,October 27 2017,Gianna Nannini,Amore gigante,,Sony Music,
53,October 27 2017,Gord Downie,Introduce Yerself,Rock,Arts & Crafts Productions,Kevin Drew
54,October 27 2017,Granger Smith,When the Good Guys Win,Country,Wheelhouse,"Derek Wells, Frank Rogers, Granger Smith"
55,October 27 2017,Gregory Porter,Nat King Cole & Me,Jazz,"Decca, Blue Note",
56,October 27 2017,Guy Sebastian,Conscious,"Pop, R&B",Sony Music Australia,"M-Phazes, Sam Sakr, Stuart Crichton"
57,October 27 2017,Hanson,Finally It's Christmas,Christmas,"3CG, S-Curve","Hanson, Mark Hudson"
58,October 27 2017,Hollywood Undead,Five,"Rap rock, alternative rock, nu metal, pop rock, hip hop","MDDN, BMG","Charlie Scene, Christian Dold, J-Dog, Sean Gould"
59,October 27 2017,Iiro Rantala & Ulf Wakenius,Good Stuff,Jazz,ACT Music,Siggi Loch
60,October 27 2017,John Maus,Screen Memories,"Synth-pop, goth-pop, post-punk, new wave",Ribbon Music,John Maus
61,October 27 2017,Kelly Clarkson,Meaning of Life,"Soul, pop, R&B",Atlantic,"Cash Cash, Craig Kallman, Fade Majah, Greg Kurstin, Jason Halbert, Jesse Shatkin, Jessica Ashley, Jussifer, Kelly Clarkson, Michael Pollack, Mick Schultz, The Monarch, MoZella, Nick Ruth, Novaway, Priscilla Renea, Ryan Riback"
62,October 27 2017,Lee Ann Womack,"The Lonely, the Lonesome & the Gone","Country blues, Americana, countrypolitan, Southern soul",ATO,Frank Liddell
63,October 27 2017,Rachel Platten,Waves,,Columbia,"busbee, Cameron Jaymes], Chantry Johnson, Chris Gehringer, Gian Stone, Ian Kirkpatrick, Jarrad Rogers, Jason Evigan, Jon Levine, Jonas Jeberg, Mitch Allan, Ryan Tedder, Spencer Bastian, Stargate, The Wiild, Zach Skelton"
64,October 27 2017,Red,Gone,Christian rock,Essential,"Jason McArthur, Rob Graves"
65,October 27 2017,Stereophonics,Scream Above the Sounds,"Rock, alternative rock, post-Britpop","Stylus Records, Parlophone","Kelly Jones, Jim Lowe"
66,October 27 2017,Theory of a Deadman,Wake Up Call,"Pop, pop rock","Roadrunner, Atlantic","Martin Terefe, Tyler Connolly"
67,October 27 2017,Ty Dolla Sign,Beach House 3,"Hip hop, R&B",Atlantic,"Ty Dolla Sign, 30 Roc, A1 Bentley, Bongo ByTheWay, DJ Mustard, D'Mile, Hey DJ, Hitmaka, Jake One, James Royo|, Jeff Gitty, Lee on the Beats, MariiBeatz, Mike Dean, Mike Will Made It, Peter Lee Johnson, Pharrell Williams, Pluss, Poo Bear, Prince Chrishan, Sam Wish, Sasha Sirota, Skrillex, Sons of Sonix, Southside, The Audibles, Twice as Nice"
68,October 27 2017,Weezer,Pacific Daydream,"Pop rock, alternative rock, power pop",Atlantic,"Butch Walker, J.R. Rotem, Jonny Coffer, Oh, Hush!, Toby Gad"
69,October 27 2017,Yelawolf,Trial by Fire,Hip hop,"Slumerican, Shady, Interscope",Yelawolf
70,October 31 2017,"21 Savage, Offset and Metro Boomin",Without Warning,"Hip hop, trap","Motown, Epic, Capitol, Republic, Boominati Worldwide, Quality Control Music, Slaughter Gang","Metro Boomin, Dre Moon, Southside, Bijan Amir, Cubeatz"
71,October 31 2017,Chris Brown,Heartbreak on a Full Moon,"Pop, dance, R&B",RCA,"A1, ADP, Amadeus, Ayo, BHam, Boi-1da, Cam Wallace, Cardiak, Cratos, D. A. Doman, Danja, Deko, Don Jarvis, Daecolm Holland, Dre Moon, EY, Foreign Teck, Hitmaka, ISM, J-Bo, J-Louis, Keyz, Milk+Sizz, Nikhil, Nija, OG Parker, OZ, P2J, Pip Kembo, Qkauztion, Richie Souf, Scott Storch, Scribz, Sean Momberger, Sevn Thomas, Smash David, Soundz, Syk Sense, Tariq Beats, The Martianz, Txpski, Vontae Thomas, Xeryus G"
72,October 31 2017,Willow Smith,The 1st,,Roc Nation,
