,Release date,Artist,Album,Genre,Label,Producer
0,September 4 2015,a-ha,Cast in Steel,"Alternative rock, pop",Universal,"a-ha, Paul Waaktaar-Savoy"
1,September 4 2015,Against Me!,23 Live Sex Acts,Punk rock,"Total Treble Music, INgrooves",
2,September 4 2015,Ane Brun,When I'm Free,Folk,Balloon Ranger Recordings,Tobias Fröberg
3,September 4 2015,The Dear Hunter,Act IV: Rebirth in Reprise,"Progressive rock, indie rock",Equal Vision,Casey Crescenzo
4,September 4 2015,Five Finger Death Punch,Got Your Six,"Heavy metal, groove metal",Prospect Park,"Kevin Churko, Five Finger Death Punch"
5,September 4 2015,Iron Maiden,The Book of Souls,Heavy metal,Parlophone,Kevin Shirley
6,September 4 2015,k-os,Can't Fly Without Gravity,Alternative hip hop,Dine Alone,"Donald ""hAZEL"" Sales, EL Jay II, Illangelo, k-os, Phen Ray, TeeSaint Dixon"
7,September 4 2015,Oh Wonder,Oh Wonder,"Indie pop, electropop, synthpop",Independent music,
8,September 4 2015,Public Image Ltd,What the World Needs Now...,"Alternative rock, post-punk",PiL Official Ltd,"James Towler, John Rambo Stevens, Public Image Ltd"
9,September 4 2015,Riverside,"Love, Fear and the Time Machine",Progressive rock,InsideOut,"Magda and Robert Srzedniccy, Riverside"
10,September 4 2015,Scarface,Deeply Rooted,Hip hop,"Facemob Music, BMG","Arthur McArthur, Amir Epstein, Chuck Heat, Cardiak, DJ Buddha, Ervin Pope, J. Baum, The Key, Luke Walker, M. Mac, Mike Dean, Nottz, N.O. Joe, Spuf Don, Scarface"
11,September 4 2015,Travi$ Scott,Rodeo,Hip hop,"Grand Hustle, Epic","1500 or Nothin', Allen Ritter, Ben Billions, Charlie Heat, Darren Charles King, DJ Dahi, Eestbound, FKi, Frank Dukes, Illangelo, Jason Geter, Kanye West, Maneesh Bidaye, Metro Boomin, Mike Dean, Million $ Mano, Noah Goldstein, Pharrell Williams, T.I., Sonny Digital, Southside, Terrace Martin, The Weeknd, Travis Scott, Wals Escober, WondaGurl, Zaytoven"
12,September 4 2015,Troye Sivan,Wild,"Electropop, dream pop","EMI Music Australia, Capitol","Alex Hope, SLUMS, Alex JL Hiew, Inscore, Pip Norman, Caleb Nott, Dann Hume"
13,September 4 2015,Wisin,Los Vaqueros: La Trilogía,"Reggaeton, electropop, Latin pop",Sony Music Latin,"David Cabrera, Egbert Rosa, Eric Pērez, Federico Vindver, Juan Santana, Jumbo, Marcos A. Rámírez, Victor R. Torres"
14,September 4 2015,The Wonder Years,No Closer to Heaven,Pop punk,Hopeless,Steve Evetts
15,September 7 2015,Prince,Hit n Run Phase One,"Rock, funk",NPG,"Prince, Joshua Welton"
16,September 11 2015,Beirut,No No No,"Indie folk, Balkan folk",4AD,"Gabe Wax, Zach Condon"
17,September 11 2015,Ben Folds,So There,Chamber pop,New West,
18,September 11 2015,Bring Me the Horizon,That's the Spirit,"Alternative rock, post-hardcore, electronic rock, metalcore, pop punk, alternative metal","Sony, Columbia, RCA","Jordan Fish, Oliver Sykes"
19,September 11 2015,Colton Dixon,The Calm Before the Storm,CCM,"Sparrow, Capitol CMG",
