,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
New England Patriots,13,3,0,.813,6-2,7-1,5-1,10-2,458,296,+162,W3
Philadelphia Eagles,13,3,0,.813,7-1,6-2,5-1,10-2,457,295,+162,L1
Pittsburgh Steelers,13,3,0,.813,6-2,7-1,6-0,10-2,406,308,+98,W2
Minnesota Vikings,13,3,0,.813,7-1,6-2,5-1,10-2,382,252,+130,W3
Los Angeles Rams,11,5,0,.688,4-4,7-1,4-2,7-5,478,329,+149,L1
New Orleans Saints,11,5,0,.688,7-1,4-4,4-2,8-4,448,326,+122,L1
Carolina Panthers,11,5,0,.688,6-2,5-3,3-3,7-5,363,327,+36,L1
Jacksonville Jaguars,10,6,0,.625,6-2,4-4,4-2,9-3,417,268,+149,L2
Kansas City Chiefs,10,6,0,.625,6-2,4-4,5-1,8-4,415,339,+76,W4
Atlanta Falcons,10,6,0,.625,5-3,5-3,4-2,9-3,353,315,+38,W1
Tennessee Titans,9,7,0,.563,6-2,3-5,5-1,8-4,334,356,-22,W1
Buffalo Bills,9,7,0,.563,6-2,3-5,3-3,7-5,302,359,-57,W1
Detroit Lions,9,7,0,.563,4-4,5-3,5-1,8-4,410,376,+34,W1
Baltimore Ravens,9,7,0,.563,5-3,4-4,3-3,7-5,395,303,+92,L1
Los Angeles Chargers,9,7,0,.563,5-3,4-4,3-3,6-6,355,272,+83,W2
Seattle Seahawks,9,7,0,.563,4-4,5-3,4-2,7-5,366,332,+34,L1
Dallas Cowboys,9,7,0,.563,3-5,6-2,5-1,7-5,354,332,+22,W1
Arizona Cardinals,8,8,0,.500,5-3,3-5,3-3,5-7,295,361,-66,W2
Cincinnati Bengals,7,9,0,.438,4-4,3-5,3-3,6-6,290,349,-59,W2
Green Bay Packers,7,9,0,.438,4-4,3-5,2-4,5-7,320,384,-64,L3
Washington Redskins,7,9,0,.438,5-3,2-6,1-5,5-7,342,388,-46,L1
Oakland Raiders,6,10,0,.375,4-4,2-6,2-4,5-7,301,373,-72,L4
Miami Dolphins,6,10,0,.375,4-4,2-6,2-4,5-7,281,393,-112,L3
San Francisco 49ers,6,10,0,.375,3-5,3-5,1-5,3-9,331,383,-52,W5
Denver Broncos,5,11,0,.313,4-4,1-7,2-4,4-8,289,382,-93,L2
New York Jets,5,11,0,.313,4-4,1-7,2-4,5-7,298,382,-84,L4
Tampa Bay Buccaneers,5,11,0,.313,4-4,1-7,1-5,3-9,335,382,-47,W1
Chicago Bears,5,11,0,.313,3-5,2-6,0-6,1-11,264,320,-56,L1
Indianapolis Colts,4,12,0,.250,3-5,1-7,2-4,3-9,263,404,-141,W1
Houston Texans,4,12,0,.250,3-5,1-7,1-5,3-9,338,436,-98,L6
New York Giants,3,13,0,.188,2-6,1-7,1-5,1-11,246,388,-142,W1
Cleveland Browns,0,16,0,.000,0-8,0-8,0-6,0-12,234,410,-176,L16
